Variable,Estimate,SE,Model,Measure,Health,Gender
child.exist (t - 1),-0.008,0.024,Causation,Summative,Mental,Female
child.exist,0.084,0.027,Causation,Summative,Mental,Female
hourly (t - 1),-0.003,0.013,Causation,Summative,Mental,Female
hourly,0.004,0.018,Causation,Summative,Mental,Female
injill (t - 1),-0.039,0.018,Causation,Summative,Mental,Female
injill,-0.247,0.023,Causation,Summative,Mental,Female
urban (t - 1),-0.008,0.02,Causation,Summative,Mental,Female
urban,0.052,0.022,Causation,Summative,Mental,Female
union (t - 1),-0.005,0.033,Causation,Summative,Mental,Female
union,0.012,0.031,Causation,Summative,Mental,Female
race_black,-0.001,0.039,Causation,Summative,Mental,Female
race_hispanic,0.038,0.036,Causation,Summative,Mental,Female
race_mixed,-0.001,0.11,Causation,Summative,Mental,Female
Lz (t - 1),0.009,0.018,Causation,IRT,Mental,Full
Lz,-0.003,0.024,Causation,IRT,Mental,Full
education (t - 1),0.03,0.017,Causation,IRT,Mental,Full
education,-0.016,0.023,Causation,IRT,Mental,Full
income (t - 1),-0.003,0.02,Causation,IRT,Mental,Full
income,0.078,0.021,Causation,IRT,Mental,Full
spouse.precarious (t - 1),-0.005,0.008,Causation,IRT,Mental,Full
spouse.precarious,0.005,0.01,Causation,IRT,Mental,Full
spouse.exist (t - 1),-0.037,0.013,Causation,IRT,Mental,Full
spouse.exist,0.022,0.014,Causation,IRT,Mental,Full
child.exist (t - 1),0.004,0.013,Causation,IRT,Mental,Full
child.exist,0.065,0.016,Causation,IRT,Mental,Full
hourly (t - 1),0.001,0.008,Causation,IRT,Mental,Full
hourly,0,0.01,Causation,IRT,Mental,Full
injill (t - 1),-0.025,0.013,Causation,IRT,Mental,Full
injill,-0.211,0.016,Causation,IRT,Mental,Full
urban (t - 1),-0.01,0.012,Causation,IRT,Mental,Full
urban,0.032,0.014,Causation,IRT,Mental,Full
union (t - 1),0.002,0.018,Causation,IRT,Mental,Full
union,0.002,0.019,Causation,IRT,Mental,Full
sex,-0.076,0.02,Causation,IRT,Mental,Full
race_black,0.04,0.023,Causation,IRT,Mental,Full
race_hispanic,0.03,0.022,Causation,IRT,Mental,Full
race_mixed,0.019,0.066,Causation,IRT,Mental,Full
Lz (t - 1),0.025,0.034,Causation,IRT,Mental,Male
Lz,0.011,0.043,Causation,IRT,Mental,Male
education (t - 1),0.006,0.015,Causation,IRT,Mental,Male
education,-0.002,0.015,Causation,IRT,Mental,Male
income (t - 1),-0.021,0.027,Causation,IRT,Mental,Male
income,0.054,0.029,Causation,IRT,Mental,Male
spouse.precarious (t - 1),-0.004,0.01,Causation,IRT,Mental,Male
spouse.precarious,0.009,0.009,Causation,IRT,Mental,Male
spouse.exist (t - 1),-0.037,0.017,Causation,IRT,Mental,Male
spouse.exist,0.032,0.016,Causation,IRT,Mental,Male
child.exist (t - 1),0.01,0.013,Causation,IRT,Mental,Male
child.exist,0.046,0.017,Causation,IRT,Mental,Male
hourly (t - 1),0.002,0.008,Causation,IRT,Mental,Male
hourly,-0.004,0.009,Causation,IRT,Mental,Male
injill (t - 1),-0.005,0.018,Causation,IRT,Mental,Male
injill,-0.159,0.022,Causation,IRT,Mental,Male
urban (t - 1),-0.009,0.012,Causation,IRT,Mental,Male
urban,0.012,0.017,Causation,IRT,Mental,Male
union (t - 1),0.003,0.02,Causation,IRT,Mental,Male
union,-0.006,0.023,Causation,IRT,Mental,Male
race_black,0.06,0.029,Causation,IRT,Mental,Male
race_hispanic,0.016,0.027,Causation,IRT,Mental,Male
race_mixed,0.045,0.069,Causation,IRT,Mental,Male
Lz (t - 1),0.007,0.03,Causation,IRT,Mental,Female
Lz,0,0.044,Causation,IRT,Mental,Female
education (t - 1),0.042,0.022,Causation,IRT,Mental,Female
education,-0.022,0.032,Causation,IRT,Mental,Female
income (t - 1),0,0.028,Causation,IRT,Mental,Female
income,0.088,0.03,Causation,IRT,Mental,Female
spouse.precarious (t - 1),-0.005,0.011,Causation,IRT,Mental,Female
spouse.precarious,0,0.015,Causation,IRT,Mental,Female
spouse.exist (t - 1),-0.036,0.019,Causation,IRT,Mental,Female
spouse.exist,0.018,0.021,Causation,IRT,Mental,Female
child.exist (t - 1),-0.007,0.024,Causation,IRT,Mental,Female
child.exist,0.083,0.027,Causation,IRT,Mental,Female
hourly (t - 1),-0.002,0.013,Causation,IRT,Mental,Female
hourly,0.004,0.018,Causation,IRT,Mental,Female
injill (t - 1),-0.04,0.018,Causation,IRT,Mental,Female
injill,-0.247,0.024,Causation,IRT,Mental,Female
urban (t - 1),-0.008,0.02,Causation,IRT,Mental,Female
urban,0.052,0.023,Causation,IRT,Mental,Female
union (t - 1),-0.005,0.032,Causation,IRT,Mental,Female
union,0.012,0.031,Causation,IRT,Mental,Female
race_black,-0.002,0.038,Causation,IRT,Mental,Female
race_hispanic,0.037,0.036,Causation,IRT,Mental,Female
race_mixed,-0.003,0.111,Causation,IRT,Mental,Female
